latitude,longitude,room_type,price
40.70170088,-73.82315677,Shared room,$60.00 
40.60991201,-73.95677374,Shared room,$39.00 
40.75973582,-73.98659697,Shared room,$59.00 
40.74351917,-73.90563987,Shared room,$35.00 
40.78882743,-73.97201054,Shared room,$250.00 
40.79041339,-73.97346082,Shared room,$117.00 
40.80095611,-73.95955131,Shared room,$49.00 
40.84650476,-73.94319108,Shared room,$60.00 
40.68599483,-73.95259579,Shared room,$16.00 
40.69036119,-73.95055679,Shared room,$29.00 
40.68888635,-73.94743361,Shared room,$45.00 
40.68816948,-73.95420453,Shared room,$16.00 
40.6915801,-73.91038628,Shared room,$35.00 
40.63484961,-73.9205465,Shared room,$50.00 
40.75278204,-73.99874791,Shared room,$105.00 
40.66661141,-73.95104067,Shared room,$90.00 
40.67196181,-73.93269599,Shared room,$80.00 
40.64602768,-73.94869293,Shared room,$25.00 
40.79511551,-73.94887605,Shared room,$37.00 
40.79517252,-73.94745061,Shared room,$35.00 
40.63560076,-73.95730627,Shared room,$35.00 
40.7257991,-73.84834264,Shared room,$39.00 
40.62105911,-74.033837,Shared room,$179.00 
40.82398261,-73.93791502,Shared room,$55.00 
40.80110722,-73.95475077,Shared room,$60.00 
40.823613,-73.94686302,Shared room,$60.00 
40.76388977,-73.99048692,Shared room,$55.00 
40.71921663,-73.99279667,Shared room,$200.00 
40.71179277,-73.98117181,Shared room,$33.00 
40.74439203,-73.9216267,Shared room,$50.00 
40.74260683,-73.90772601,Shared room,$60.00 
40.78304617,-73.95380998,Shared room,$49.00 
40.76980457,-73.96194786,Shared room,$48.00 
40.76739193,-73.95569631,Shared room,$90.00 
40.772262,-73.98356522,Shared room,$60.00 
40.79636997,-73.96996423,Shared room,$65.00 
40.85379661,-73.93196722,Shared room,$45.00 
40.71410313,-73.93540988,Shared room,$30.00 
40.72013841,-73.96171356,Shared room,$65.00 
40.71345542,-73.95688749,Shared room,$42.00 
40.69625398,-73.9485698,Shared room,$32.00 
